"","side","start","end","duration_sec","date","startT","endT"
"96","left","2019-03-24 07:29:00.000-0400","2019-03-24 07:45:41.000-0400","1001","2019-03-24","07:29:00","07:45:41"
"97","right","2019-03-24 08:01:00.000-0400","2019-03-24 08:15:24.000-0400","864","2019-03-24","08:01:00","08:15:24"
"98","right","2019-03-24 08:25:00.000-0400","2019-03-24 08:40:11.000-0400","911","2019-03-24","08:25:00","08:40:11"
"99","left","2019-03-24 11:59:00.000-0400","2019-03-24 12:20:50.000-0400","1310","2019-03-24","11:59:00","12:20:50"
"100","right","2019-03-24 12:33:00.000-0400","2019-03-24 12:40:32.000-0400","452","2019-03-24","12:33:00","12:40:32"
"101","left","2019-03-24 14:30:00.000-0400","2019-03-24 14:45:42.000-0400","942","2019-03-24","14:30:00","14:45:42"
"102","right","2019-03-24 15:07:00.000-0400","2019-03-24 15:20:14.000-0400","794","2019-03-24","15:07:00","15:20:14"
"103","left","2019-03-24 18:00:00.000-0400","2019-03-24 18:15:12.000-0400","912","2019-03-24","18:00:00","18:15:12"
"104","right","2019-03-24 18:35:00.000-0400","2019-03-24 18:50:39.000-0400","939","2019-03-24","18:35:00","18:50:39"
"105","left","2019-03-24 19:46:00.000-0400","2019-03-24 20:05:07.000-0400","1147","2019-03-24","19:46:00","20:05:07"
"106","right","2019-03-24 20:30:00.000-0400","2019-03-24 20:40:03.000-0400","603","2019-03-24","20:30:00","20:40:03"
"107","right","2019-03-24 22:20:00.000-0400","2019-03-24 22:30:24.000-0400","624","2019-03-24","22:20:00","22:30:24"
"108","left","2019-03-24 22:40:00.000-0400","2019-03-24 22:50:03.000-0400","603","2019-03-24","22:40:00","22:50:03"
"109","left","2019-03-25 02:59:00.000-0400","2019-03-25 03:10:36.000-0400","696","2019-03-25","02:59:00","03:10:36"
"110","right","2019-03-25 03:32:00.000-0400","2019-03-25 03:45:29.000-0400","809","2019-03-25","03:32:00","03:45:29"
"111","right","2019-03-25 05:40:00.000-0400","2019-03-25 05:50:31.000-0400","631","2019-03-25","05:40:00","05:50:31"
"112","left","2019-03-25 06:10:00.000-0400","2019-03-25 06:25:58.000-0400","958","2019-03-25","06:10:00","06:25:58"
"113","left","2019-03-25 10:20:00.000-0400","2019-03-25 10:40:39.000-0400","1239","2019-03-25","10:20:00","10:40:39"
"114","right","2019-03-25 11:10:00.000-0400","2019-03-25 11:30:00.000-0400","1200","2019-03-25","11:10:00","11:30:00"
"115","right","2019-03-25 14:10:00.000-0400","2019-03-25 14:20:44.000-0400","644","2019-03-25","14:10:00","14:20:44"
"116","left","2019-03-25 16:32:00.000-0400","2019-03-25 16:50:02.000-0400","1082","2019-03-25","16:32:00","16:50:02"
"117","right","2019-03-25 18:10:00.000-0400","2019-03-25 18:30:47.000-0400","1247","2019-03-25","18:10:00","18:30:47"
"118","left","2019-03-25 20:40:00.000-0400","2019-03-25 20:50:32.000-0400","632","2019-03-25","20:40:00","20:50:32"
"119","right","2019-03-25 22:01:00.000-0400","2019-03-25 22:15:05.000-0400","845","2019-03-25","22:01:00","22:15:05"
"120","left","2019-03-25 22:20:00.000-0400","2019-03-25 22:35:57.000-0400","957","2019-03-25","22:20:00","22:35:57"
"121","left","2019-03-26 02:05:00.000-0400","2019-03-26 02:20:10.000-0400","910","2019-03-26","02:05:00","02:20:10"
"122","right","2019-03-26 02:49:00.000-0400","2019-03-26 03:00:47.000-0400","707","2019-03-26","02:49:00","03:00:47"
"123","right","2019-03-26 05:15:00.000-0400","2019-03-26 05:25:29.000-0400","629","2019-03-26","05:15:00","05:25:29"
"124","left","2019-03-26 05:40:00.000-0400","2019-03-26 05:50:40.000-0400","640","2019-03-26","05:40:00","05:50:40"
"125","left","2019-03-26 09:15:00.000-0400","2019-03-26 09:35:48.000-0400","1248","2019-03-26","09:15:00","09:35:48"
"126","right","2019-03-26 09:50:00.000-0400","2019-03-26 10:00:05.000-0400","605","2019-03-26","09:50:00","10:00:05"
"127","right","2019-03-26 12:15:00.000-0400","2019-03-26 12:40:11.000-0400","1511","2019-03-26","12:15:00","12:40:11"
"128","left","2019-03-26 14:25:00.000-0400","2019-03-26 14:35:26.000-0400","626","2019-03-26","14:25:00","14:35:26"
"129","right","2019-03-26 14:40:00.000-0400","2019-03-26 14:50:56.000-0400","656","2019-03-26","14:40:00","14:50:56"
"130","left","2019-03-26 15:40:00.000-0400","2019-03-26 15:50:21.000-0400","621","2019-03-26","15:40:00","15:50:21"
"131","right","2019-03-26 18:30:00.000-0400","2019-03-26 18:45:56.000-0400","956","2019-03-26","18:30:00","18:45:56"
"132","left","2019-03-26 19:05:00.000-0400","2019-03-26 19:15:23.000-0400","623","2019-03-26","19:05:00","19:15:23"
"133","left","2019-03-26 21:35:00.000-0400","2019-03-26 21:55:02.000-0400","1202","2019-03-26","21:35:00","21:55:02"
